gold_left,sum_unit_tier,mean_unit_rarity,placement
0,15,1.875,6
3,15,2.75,8
51,18,3.2222222222222223,1
1,19,4.2727272727272725,3
39,18,3.6,2
2,14,2.625,7
13,15,2.142857142857143,5
32,15,2.375,4
5,13,4.0,5
20,15,2.555555555555556,8
0,18,1.75,6
11,16,3.888888888888889,3
1,20,4.545454545454546,1
1,15,2.625,7
16,17,2.25,4
19,17,3.888888888888889,2
10,21,3.9,1
0,12,2.5,8
14,20,3.2222222222222223,3
3,16,2.0,2
4,13,3.4444444444444446,6
2,12,2.857142857142857,7
0,16,2.6666666666666665,4
0,15,2.375,5
2,17,3.2222222222222223,1
2,15,3.2222222222222223,7
12,20,3.4545454545454546,2
1,12,2.0,6
30,14,2.888888888888889,8
0,21,3.75,4
1,17,3.2,5
3,18,3.111111111111111,3
0,11,2.75,5
1,14,2.0,8
11,20,1.25,4
0,17,3.111111111111111,3
1,13,3.888888888888889,6
3,16,3.0,7
2,18,3.111111111111111,1
3,20,3.7,2
0,12,3.625,8
19,18,2.0,3
0,15,3.111111111111111,5
1,21,1.5,2
18,15,3.0,4
6,17,4.636363636363637,1
5,14,1.4285714285714286,6
0,14,1.75,7
1,16,4.454545454545454,1
1,14,3.4444444444444446,5
1,13,3.0,6
11,16,2.5,3
2,21,4.2727272727272725,2
2,16,3.0,4
1,13,2.75,7
11,15,2.125,8
1,16,4.636363636363637,6
0,17,3.9,3
11,11,2.75,7
0,17,4.5,4
1,17,1.8888888888888888,8
1,19,4.181818181818182,5
4,15,3.333333333333333,2
28,17,3.2222222222222223,1
1,15,1.7142857142857142,8
1,16,1.875,7
0,19,4.090909090909091,2
32,15,2.888888888888889,1
32,20,1.5,3
0,17,2.7777777777777777,6
1,15,3.111111111111111,5
11,17,3.1,4
6,17,2.7777777777777777,2
0,14,3.6666666666666665,7
51,19,1.5,1
0,17,3.2,6
4,17,2.0,5
1,17,2.909090909090909,8
51,18,1.875,4
38,17,3.888888888888889,3
16,20,4.4,2
0,14,2.2857142857142856,6
0,14,1.875,5
13,14,3.0,8
19,14,4.125,4
12,18,2.75,1
68,21,1.5555555555555556,3
1,15,2.375,7
38,14,2.4444444444444446,6
14,21,2.7,1
1,11,2.7777777777777777,8
10,16,2.625,3
1,13,2.7777777777777777,7
2,18,2.4444444444444446,2
17,15,3.111111111111111,5
0,19,3.090909090909091,4
2,17,3.111111111111111,1
0,18,2.9,2
4,13,4.222222222222222,7
1,21,2.5,6
12,19,2.333333333333333,4
0,14,3.333333333333333,5
5,19,3.3,3
9,13,2.142857142857143,8
4,17,4.0,3
2,14,1.4285714285714286,6
20,15,3.6666666666666665,8
1,14,3.7777777777777777,5
1,19,2.5,4
0,14,2.625,7
7,19,2.555555555555556,1
1,23,4.916666666666667,2
0,15,3.2222222222222223,4
0,13,3.7777777777777777,7
5,14,3.125,8
63,22,1.3333333333333333,1
11,17,3.7,5
